Client,Project,Registered time,Billable time,Amount (USD)
EvrSource LLC,"(final) 830 Oconee, LLC (Conservation Easement) (private or exempt)",81:33:19,00:00:00,0.00
AEI Capital Corporation,(final) AEI Net Lease Portfolio V DST (private or exempt),155:49:23,82:22:56,0.00
AR Capital or RCS,(final) American Realty Capital Healthcare Trust III (REIT) (public) (non-traded),01:03:07,01:03:07,0.00
AR Capital or RCS,(final) American Realty Capital Hospitality Trust (REIT) (public) (non-traded),02:05:49,00:00:00,0.00
EcoVest,"(final) Arcadian Quay Cove Holdings, LLC (Conservation Easement) (private or exempt) (IC)",08:27:35,00:00:00,0.00
Atlas Energy,"(final) Atlas Eagle Ford 2016, LP (oil & gas) (private or exempt) (IC)",02:42:17,00:00:00,0.00
Atlas Energy,(final) Atlas Growth Partners (public) (non-traded) (other),239:04:06,119:02:40,0.00
Beacon Clearpath LLC,"(final) Beacon Clearpath, LLC ODD 2016",139:23:37,00:00:00,0.00
"Behringer Harvard Holdings, LLC","(Final) Behringer Harvard Holdings, LLC ODD October 2015",29:23:45,00:00:00,0.00
EcoVest,"(Final) Bellavista Grove Holdings, LLC (private or exempt) (conservation easement)",08:04:05,00:00:00,0.00
"Bluerock Real Estate, LLC",(final) Bluerock Residential Growth REIT (public) (non-traded) (IC),35:58:29,35:58:29,0.00
"Direct Realty Securities, Inc.","(final) Bonanza Retail Partners, LLC (essential) (fund) (exempt or private) (IC)",07:49:37,07:36:29,0.00
FundAmerica,"(final) BrewDog USA, Inc. (Reg A) (private or exempt)",25:09:47,00:00:00,0.00
EcoVest,"(final) Camellia Station Holdings, LLC (conservation easement) (private or exempt)",10:45:04,00:00:00,0.00
Campbell & Company,(final) Campbell & Company ODD 2016,22:02:39,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) Cantor Fitzgerald ODD 2016,72:40:36,08:33:38,0.00
Carter Validus,"(final) Carter Validus REIT Management Company II, LLC ODD 2016",27:57:48,00:00:00,0.00
EcoVest,"(final) Cayo Marsopa Holdings, LLC  (Conservation Easement) (private or exempt)",30:49:26,00:00:00,0.00
EcoVest,"(final) Cayo Marsopa Holdings, LLC (conservation easement) (private or exempt)",03:55:47,00:00:00,0.00
"CNL Financial Group, LLC",(final) CNL Financial Group ODD 2016,100:14:30,03:22:33,0.00
"CNL Financial Group, LLC","(final) CNL Healthcare Properties II, Inc. (REIT) (non-traded) (public)",93:40:28,00:00:00,0.00
EcoVest,"(final) Coastavista Palms Holdings, LLC (private or exempt) (conservation easement)",09:35:11,00:00:00,0.00
Cole Capital or VEREIT Inc.,(final) Cole Capital Advisors ODD 2016,59:16:22,09:00:00,0.00
Cole Capital or VEREIT Inc.,"(final) Cole Office & Industrial REIT (CCIT III), Inc. (REIT) (non-traded) (public)",92:55:12,00:00:00,0.00
Cole Capital or VEREIT Inc.,(final) Cole Office & Industrial REIT (CCIT II) Inc. (public) (non-traded),02:52:12,00:00:00,0.00
"CNL Financial Group, LLC",(Final) Corporate Capital Trust II (BDC) (public) (non-traded),119:38:50,00:00:00,0.00
Cottonwood Residential O.P. L.P,(final) Cottonwood Multifamily REIT I (reg a) (private or exempt),11:42:02,00:00:00,0.00
Cottonwood Residential O.P. L.P,"(final) Cottonwood Residential, Inc. ODD 2016",170:46:03,00:00:00,0.00
EcoVest,"(final) Cristobal Key Holdings, LLC (Conservation Easement) (private or exempt)",26:25:48,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) Crystal Lake Florida Apartments DST (private or exempt),00:28:51,00:00:00,0.00
Dahn Corporation,(final) Dahn America360 Storage III DST (private or exempt),20:43:34,00:00:00,0.00
Inland Private Capital Corporation,(final) East Coast Wholesale Portfolio DST (private or exempt) (IC),09:57:31,06:26:20,0.00
Equinox Fund Management,(final) Equinox Fund Management ODD 2015,53:26:13,00:00:00,0.00
"Everest Realty Management, LLC","(final) Everest Kensington, DST (private or exempt) (IC)",10:19:25,00:00:00,0.00
"Everest Realty Management, LLC",(final) Everest Realty Management LLC ODD 2016,87:04:02,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight Net Leased Portfolio 12 DST (private or exempt) (IC),29:24:14,03:14:15,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight Net Leased Portfolio 13 DST (private or exempt) (IC),14:59:02,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight Net Leased Portfolio 14 DST (private or exempt) (IC),21:14:13,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight NLP 11 DST,01:51:49,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) ExchangeRight Real Estate ODD 2017,50:32:39,00:00:00,0.00
"First Capital Real Estate Investments, LLC",(final) First Capital Income Fund I (fund) (private or exempt),140:24:37,00:00:00,0.00
"First Capital Real Estate Investments, LLC","(final) First Capital Real Estate Investments, LLC ODD 2015",01:54:02,00:00:00,0.00
Four Springs Capital,(final) Four Springs Capital ODD 2016,139:44:08,16:45:31,0.00
Franklin Square,(final) Franklin Square Investment Corp IV (BDC),00:19:34,00:00:00,0.00
Franklin Square,(final) Franklin Square ODD February 2016,79:15:57,00:00:00,0.00
Four Springs Capital,(final) FSC Healthcare I DST (essential) (private or exempt) (IC),14:26:22,00:00:00,0.00
Four Springs Capital,(final) FSCT Series C Preferred Shares (Fund) (private or exempt),131:55:43,58:20:26,0.00
Franklin Square,(final) FS One Equity Partners Co. LP (Fund) (public) (non-traded) (IC),23:07:55,00:00:00,0.00
Inland Private Capital Corporation,(final) Ft. Collins Multifamily III DST (private or exempt) (IC),20:19:34,00:00:00,0.00
GK Development,(final) GK Development ODD 2016,116:28:09,00:00:00,0.00
GK Development,(final) GK Hy-Vee DST (private or exempt),87:25:24,21:40:15,0.00
GPB Holdings,"(final) GPB Automotive Portfolio, LP (Fund) (private or exempt)",07:07:39,00:00:00,0.00
GPB Holdings,"(final) GPB Holdings II, Inc. ( Fund) (private or exempt)",03:46:47,00:00:00,0.00
GPB Holdings,(final) GPB Holdings II Update (fund) (private or exempt),93:00:52,00:00:00,0.00
GPB Holdings,"(final) GPB Waste Management, LP (fund) (private or exempt)",51:48:09,00:00:00,0.00
Greenbacker Capital Management,(final) Greenbacker Group ODD December 2015,102:28:28,29:48:06,0.00
Greenbacker Renewable Energy Company LLC,(final) Greenbacker Renewable Energy Company (fund) (public) (non-traded),07:19:37,00:00:00,0.00
Griffin Capital Corp.,"(final) Griffin-American Healthcare REIT 4, Inc. (public) (non-traded) (IC)",06:45:44,00:00:00,0.00
Griffin Capital Corp.,(final) Griffin American Healthcare REIT III,16:04:38,00:00:00,0.00
Griffin Capital Corp.,(final) Griffin-Benefit Street Partners Corp (BDC),01:51:40,00:00:00,0.00
