Client,Project,Registered time,Billable time,Amount (USD)
Griffin Capital Corp.,(final) Griffin Capital Corporation ODD June 2015,80:14:17,00:00:00,0.00
Griffin Capital Corp.,(final) Griffin Capital Development Partners Fund I Update (Other RE Fund),28:19:38,28:19:38,0.00
Griffin Capital Corp.,"(final) Griffin Capital Essential Asset REIT II, Inc.",16:30:25,00:00:00,0.00
Griffin Capital Corp.,(final) Griffin Institutional Access Credit Fund (interval fund),04:03:38,00:00:00,0.00
GWG Holdings Inc.,"(final) GWG Life, LLC (Other RE Fund)",08:05:25,00:00:00,0.00
GWG Holdings Inc.,(final) GWG Redeemable Preferred Stock (other RE Fund),14:07:13,00:00:00,0.00
"Hamilton Point Investments, LLC",(final) Hamilton Point Investments ODD 2016,64:04:57,00:00:00,0.00
Holmwood Capital,(final) HC Government Realty Trust Inc.  (Reg A) (private or exempt) (IC),13:30:39,00:00:00,0.00
Hines LP,(final) Hines LP ODD September 2015,33:18:37,00:00:00,0.00
"Hines Real Estate Investments, Inc.","(final) HMS Income Fund, Inc. - Follow On Offering",01:14:21,00:00:00,0.00
Hines LP,"(final) HMS Income Fund, Inc. (other RE Fund) (public non-traded)",07:20:15,00:00:00,0.00
Franklin Square,(final) Hourly - FS OneEquity,01:41:44,00:00:00,0.00
Medalist,"(final) Hourly - Medalist Diversified REIT, Inc. (Reg A) (private or exempt)",05:36:21,00:00:00,0.00
"Hamilton Point Investments, LLC",(final) HPI Real Estate Opportunity Fund V (private or exempt),13:16:29,00:00:00,0.00
"Hamilton Point Investments, LLC",(final) HPI Villas DST (private or exempt) (IC),12:19:49,00:00:00,0.00
FundAmerica,(final) Hygen Industries (private or exempt) (reg a),33:27:28,00:00:00,0.00
Inland Real Estate Income Corporation,"(final) Inland Residential Properties Trust, Inc. (REIT) (public) (non-traded) (IC)",10:56:09,00:00:00,0.00
KeyStone Solutions,"(final) KeyStone Solutions, Inc. (essential) (Reg A) (private or exempt) ",61:06:31,00:00:00,0.00
"Kodiak Capital Advisors, LLC",(final) Kodiak Capital Advisors LLC ODD 2017,01:04:42,00:00:00,0.00
"Direct Realty Securities, Inc.",(final) Lahaina Cannery Investors (Essential) (private or exempt) (fund),07:21:23,00:00:00,0.00
EcoVest,"(final) Lakeshore Resort Holdings, LLC (conservation easement) (private or exempt)",39:48:03,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) Lakeside at Arbor Place DST (private or exempt) (IC),22:23:34,00:18:34,0.00
Megatel Homes Inc.,(final) Management Fee Project (other),124:47:44,17:38:48,0.00
Megatel Homes Inc.,(final) MCI preferred equity fund (fund) (private or exempt) (IC),07:53:06,00:00:00,0.00
Megatel Homes Inc.,(final) MCI Preferred Equity Fund Update (private or exempt) (fund) (IC),05:26:59,03:25:15,0.00
Megatel Homes Inc.,(final) MCI Secure Income Fund (private or exempt) (fund),00:10:00,00:00:00,0.00
Medalist,(final) Medalist Diversified REIT (reg a) (private or exempt) (IC),10:22:45,00:02:28,0.00
"Medley, LLC",(final) Medley ODD 2016,90:55:08,12:11:56,0.00
Megatel Homes Inc.,"(final) Megatel Capital Investments, LLC ODD 2015",78:02:51,00:00:00,0.00
Missouri Valley REIT Management,(final) Missouri Valley REIT Consulting Project,61:31:31,00:00:00,0.00
Missouri Valley REIT Management,(final) Missouri Valley REIT Management ODD,50:27:45,00:00:00,0.00
Missouri Valley REIT Management,(final) Missouri Valley REIT (private or exempt) (IC),16:33:12,00:00:00,0.00
MVP Realty Advisors,(final) MVP REIT II (public) (non-traded),165:01:45,45:46:02,0.00
EcoVest,"(final) Myrtle West Resort Holdings, LLC (conservation easement) (private or exempt)",10:01:16,00:00:00,0.00
Nelson Brothers,(final) NB Loftvue DST (private or exempt),04:16:28,00:00:00,0.00
Nelson Brothers,(final) NB Molly Barr DST (private or exempt) (IC),11:34:00,00:00:00,0.00
Nelson Brothers,(final) NB Stadium View DST (private or exempt),118:32:17,00:51:27,0.00
Nelson Brothers,(final) NB Vue on MacGregor DST (private or exempt),119:24:40,00:00:00,0.00
"ExchangeRight Real Estate, LLC",(final) North Austin Apartment Portfolio DST (private or exempt) (IC),46:20:08,00:00:00,0.00
EcoVest,"(final) North Bay Cove Holdings, LLC (conservation easement) (private or exempt)",27:12:29,00:00:00,0.00
"NorthStar Asset Management Group, Inc.","(final) Northstar/RXR New York Metro Real Estate, Inc. (REIT) (IC) (public) (non-traded)",23:25:17,00:00:00,0.00
Oak Bridge Royalties,(final) Oak Bridge Royalty Income Fund (royalties),14:25:13,00:00:00,0.00
EcoVest,"(final) Ocean Grove Resort Holdings, LLC (conservation easement) (private or exempt)",40:53:22,00:00:00,0.00
Preferred Apartment Communities,(final) PAC - mShares Combined report (IC),65:19:37,00:00:00,0.00
Preferred Apartment Communities,(final) PAC - Pref A Shares Combined report (IC),01:32:00,00:00:00,0.00
"Behringer Harvard Holdings, LLC",(final) Pathway Energy Infrastructure Fund (other RE fund),04:22:19,00:00:00,0.00
Phillips Edison Limited Partnership,(final) Phillips Edison Grocery Center REIT III (IC) (private or exempt) (public) (non-traded),27:30:01,00:00:00,0.00
Phillips Edison Limited Partnership,(final) Phillips Edison Limited Partnership ODD 2016,84:37:45,00:00:00,0.00
Preferred Apartment Communities,(final) Preferred Apartment Communities ODD July 2015,08:41:46,00:00:00,0.00
"Behringer Harvard Holdings, LLC",(final) Priority Income Fund (other RE fund),01:10:00,00:00:00,0.00
"Procaccianti Hotel Advisors, LLC","(final) Procaccianti Hotel REIT, Inc. (private or exempt)",102:53:53,00:00:00,0.00
Steadfast Companies,(final) (QS) Steadfast Apartment REIT Inc.,11:09:13,02:08:11,0.00
EcoVest,"(final) Queen's Cove Holdings, LLC (Conservation Easement) (private or exempt) (IC)",08:29:30,00:00:00,0.00
Rance King Properties Inc.,(final) Rance King Properties Inc. ODD 2016,56:34:24,38:29:15,0.00
AR Capital or RCS,(final) Realty Finance Trust Inc. (REIT),01:56:50,00:00:00,0.00
EcoVest,"(final) Riverside Preserve Holdings, LLC (Conservation Easement) (private or exempt)",37:23:12,00:00:00,0.00
"RK Properties, Inc.","(final) RK opportunity Fund IV, LLC (fund) (private or exempt) (IC)",13:52:49,01:01:59,0.00
"RK Properties, Inc.",(final) RK Properties Opportunity Fund III supplement (December 2015) (other RE fund),25:07:26,25:07:26,0.00
Rance King Properties Inc.,(final) RK Properties Opportunity Fund IV supplement (Parkway Vista) (other RE fund) (private or exempt),00:06:18,00:00:00,0.00
EvrSource LLC,"(final) Roaring Florida Acquisitions, LLC (Conservation Easement) (private or exempt)",86:37:40,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC","(final) Rodin Global Property Trust, Inc. (public) (nontraded) (IC) ",26:58:11,00:00:00,0.00
Sealy & Company,(final) Sealy & Company ODD 2016,62:06:53,00:00:00,0.00
"Shopoff Realty Investments, LP","(final) Shopoff Realty Investments, LP ODD 2016",03:49:38,00:00:00,0.00
Starboard Realty Advisors,(final) Shops at Mesa Ridge (essential) (private or exempt) (fund) (IC),14:35:29,01:56:13,0.00
"Medley, LLC",(final) Sierra Total Return Fund (interval fund) (public) (non-traded),01:05:24,00:00:00,0.00
Smartstop Self Storage,(final) SmartStop Asset Management LLC ODD,82:02:14,00:00:00,0.00
AR Capital or RCS,(final) Special Project - AR Global Proxy,24:11:56,00:00:00,0.00
Steadfast Companies,(final) Steadfast Alcentral Global Credit Fund (public) (nontraded) (IC),00:31:30,00:00:00,0.00
Steadfast Companies,(final) Steadfast Apartment REIT III (public) (non-traded) (IC),06:59:09,00:57:27,0.00
Steadfast Companies,(final) Steadfast ODD 2016,73:44:08,00:00:00,0.00
"ASMX Capital, LLC",(final) Stococil (Reg A) (IC) (private or exempt),09:27:15,00:00:00,0.00
U.S. Energy Development Corporation,"(final) Strategic Energy Income Fund V, LP (private or exempt) (O&G) (IC)",17:12:03,00:00:00,0.00
Smartstop Self Storage,(final) Strategic Storage Growth Trust Inc. (REIT) (public) (non-traded) (IC),21:37:13,00:00:00,0.00
Smartstop Self Storage,(final) Strategic Storage Trust II (REIT),147:46:54,00:00:00,0.00
"ASMX Capital, LLC",(final) Teraphysics Corporation (reg a) (private or exempt),52:14:46,00:00:00,0.00
Terra Capital Partners,(final) Terra Capital Partners LLC ODD 2016,64:22:13,00:00:00,0.00
Terra Capital Partners,(final) Terra Reg D Merger Transaction,03:23:58,00:00:00,0.00
The Lightstone Group,(final) The Lightstone Group ODD September 2015,02:32:41,00:00:00,0.00
Time Equities Inc.,(final) Time Equities ODD 2016,82:47:59,77:04:18,0.00
Triloma Financial Group,"(final) Triloma EIG Global Energy Fund, LLC (public) (non-traded) (other)",95:37:38,00:00:00,0.00
Triloma Financial Group,(final) Triloma EIG Global Energy Term Fund I (public) (non-traded) (other),60:47:04,00:00:00,0.00
Triloma Financial Group,(final) Triloma Financial Group ODD 2016,133:15:21,00:00:00,0.00
"Triton Pacific Capital Partners, LLC",(final) Triton Pacific Capital Partners ODD 2016,115:38:38,88:30:50,0.00
"UDF Holdings, LLC","(final) UDF Holdings, LP ODD December 2015",04:53:10,00:00:00,0.00
"UDF Holdings, LLC",(final) United Development Funding Income Fund V (REIT),56:14:51,00:00:00,0.00
U.S. Energy Development Corporation,"(final) USEDC 2016 Drilling Fund, LP (oil & gas) (IC)",00:25:36,00:00:00,0.00
U.S. Energy Development Corporation, (final) U.S. Energy Development Corporation ODD 2016,43:15:43,00:00:00,0.00
"Behringer Harvard Holdings, LLC",(final) Vertical Capital Income Fund (interval fund) (public) (non-traded),142:45:27,00:00:00,0.00
EcoVest,"(final) Waterway Grove Holdings, LLC (private or exempt) (conservation easement)",26:38:17,00:00:00,0.00
"Direct Realty Securities, Inc.","(final) Watt Town Center Retail Partners, LLC (essential) (private or exempt) (IC) (fund)",03:39:47,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) WG DST 2 (DST) (private or exempt),18:30:04,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) WG DST 3 (DST) (private or exempt) (IC),28:02:33,22:04:43,0.00
"Cantor Fitzgerald Investors, LLC",(final) WG DST 4 (DST) (private or exempt) (IC),14:47:29,00:00:00,0.00
"Cantor Fitzgerald Investors, LLC",(final) WG DST 5 (dst) (private or exempt)(IC),06:26:44,00:00:00,0.00
Wheat Capital,"(final) Wheat Self-Storage Partners II, LP (fund) (private or exempt) (IC)",23:19:06,00:00:00,0.00
EcoVest,"(final) White Sands Village Holdings, LLC (conservation easement) (private or exempt)",29:17:48,00:00:00,0.00
"Wildermuth Advisory, LLC",(final) Wildermuth Endowment Strategy Fund (interval fund) (public) (non-traded),99:51:54,00:00:00,0.00
FundAmerica,"(final) XReal, Inc. (reg a) (private or exempt) (IC)",15:50:16,00:00:00,0.00
